date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-06-16,2.5,매수,1.0,2.0,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.4503410616446273,1.2076916739609609,1.0,0.7573506123163336
2025-06-17,-1.0,관망,2.0,-3.0,0.0,🟡 관망 — 진입 없음,,0,-0.5650329030854498,,,
2025-06-18,-4.0,금지,0.0,-2.5,-1.5,🟡 관망 — 진입 없음,,0,0.5844215050159807,,0.0,
2025-06-19,-2.0,관망,1.0,-3.0,0.0,🟡 관망 — 진입 없음,,0,0.294855471789662,,,
2025-06-20,4.0,매수,-1.0,5.5,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.9808638398016652,-1.9290284300561884,0.0,-0.9481645902545232
2025-06-23,-0.5,관망,0.0,-1.5,1.0,🟡 관망 — 진입 없음,,0,1.548196609306884,,,
2025-06-24,6.0,강매수,1.0,4.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.7781233429215271,0.3121914455728151,1.0,-0.465931897348712
2025-06-25,-4.0,금지,-2.0,-3.0,1.0,🟡 관망 — 진입 없음,,0,0.002898347643368455,,0.0,
2025-06-26,6.5,강매수,2.0,4.0,0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,-0.05487606586967148,-0.1152203298701834,0.0,-0.06034426400051191
2025-06-27,5.0,강매수,1.0,3.0,1.0,🟢🟢 기본,"semiconductor,power_infra",5,0.5500781728718963,1.8736947474713896,1.0,1.3236165745994932
2025-06-30,-3.0,금지,-2.0,-0.5,-0.5,🟡 관망 — 진입 없음,,0,0.5840395120430232,,0.0,
2025-07-01,0.0,관망,1.0,-2.0,1.0,🟡 관망 — 진입 없음,,0,-0.18868914500483044,,,
2025-07-02,0.0,관망,-1.0,1.5,-0.5,🟡 관망 — 진입 없음,,0,0.8217732027909135,,,
2025-07-03,4.5,매수,1.0,3.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.19285908242729966,-0.32657284172023876,1.0,-0.5194319241475385
2025-07-04,-0.5,관망,2.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,-0.31103893254303183,,,
2025-07-07,-2.5,금지,-2.0,1.0,-1.5,🟡 관망 — 진입 없음,,0,0.4010504972673457,,0.0,
2025-07-08,2.5,매수,1.0,2.0,-0.5,🟢 기본,"semiconductor,power_infra",5,0.2654944593295548,0.8045438765479844,1.0,0.5390494172184297
2025-07-09,6.0,강매수,2.0,3.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.33186870564115256,0.703933154224502,1.0,0.3720644485833494
2025-07-10,-3.0,금지,-2.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,0.0980173348028264,,0.0,
2025-07-11,-2.0,관망,2.0,-3.0,-1.0,🟡 관망 — 진입 없음,,0,-0.00566576419320056,,,
2025-07-14,1.0,관망,2.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,-0.22516843600880332,,,
2025-07-15,-2.0,관망,-1.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,-0.24259314140767804,,,
2025-07-16,-1.0,관망,1.0,-2.5,0.5,🟡 관망 — 진입 없음,,0,0.47201023153663374,,,
2025-07-17,1.5,관망,-2.0,3.0,0.5,🟡 관망 — 진입 없음,,0,0.2552995574970824,,,
2025-07-18,-1.0,관망,0.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,0.09535672043947409,,,
2025-07-21,1.5,관망,1.0,0.0,0.5,🟡 관망 — 진입 없음,,0,-0.021488079134527695,,,
2025-07-22,-3.0,금지,-2.0,-2.0,1.0,🟡 관망 — 진입 없음,,0,0.6217771094034122,,0.0,
2025-07-23,4.5,매수,0.0,4.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.8059599767558882,1.905358130133909,1.0,1.0993981533780208
2025-07-24,6.0,강매수,3.5,1.5,1.0,🟢🟢 기본,"semiconductor,power_infra",5,-0.19056352794820786,-0.27713216829092063,0.0,-0.08656864034271278
2025-07-25,1.0,관망,2.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,1.0187593465780858,,,
2025-07-28,-2.5,금지,1.0,-3.0,-0.5,🟡 관망 — 진입 없음,,0,-0.5405823160680574,,1.0,
2025-07-29,-1.0,관망,-3.5,2.0,0.5,🟡 관망 — 진입 없음,,0,0.0848144499700168,,,
2025-07-30,-1.5,관망,-1.0,-1.0,0.5,🟡 관망 — 진입 없음,,0,0.6547935235409772,,,
2025-07-31,-5.5,패닉,-2.0,-4.0,0.5,💀 극단 하락 → 인버스 헤지,inverse,2,-1.082129809238052,1.082129809238052,1.0,2.164259618476104
2025-08-01,-3.0,금지,0.5,-3.0,-0.5,🟡 관망 — 진입 없음,,0,-0.164771310053617,,1.0,
2025-08-04,4.0,매수,-2.0,5.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,1.2516846110316893,1.8839218290180826,1.0,0.6322372179863933
2025-08-05,3.0,매수,0.5,1.5,1.0,🟢 + CNH강세,"semiconductor,entertainment",5,-0.49843469062695434,-0.522474086245814,0.0,-0.024039395618859705
2025-08-06,4.0,매수,2.0,1.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.5212456795373837,1.4470951829761107,1.0,0.9258495034387271
2025-08-07,5.5,강매수,1.0,4.0,0.5,🟢🟢 기본,"semiconductor,power_infra",5,-0.21996770640192181,0.023696624883263323,0.0,0.24366433128518514
2025-08-08,1.5,관망,1.0,0.0,0.5,🟡 관망 — 진입 없음,,0,0.33364260251269356,,,
2025-08-11,1.0,관망,2.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,0.09292778872822315,,,
2025-08-12,0.0,관망,1.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,1.1125702986046624,,,
2025-08-13,5.0,강매수,0.0,4.0,1.0,🟢🟢 + 금리↓,"reits,securities,power_infra",8,0.06667666135131166,0.02820833023802274,1.0,-0.038468331113288914
2025-08-14,5.0,강매수,0.0,4.0,1.0,🟢🟢 + 유가↑,"oil_resource,shipbuilding",4,-0.7139633415915454,-0.14253313150051652,0.0,0.5714302100910289
2025-08-18,-4.0,금지,-2.0,-1.5,-0.5,🟡 관망 — 진입 없음,,0,0.24423436694505873,,0.0,
2025-08-19,3.5,매수,1.0,0.5,2.0,🟢 기본,"semiconductor,power_infra",5,-0.953179964969606,-2.59291851151879,0.0,-1.639738546549184
2025-08-20,-4.5,금지,-2.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.33928330331322054,,0.0,
2025-08-21,-1.5,관망,-2.0,0.0,0.5,🟡 관망 — 진입 없음,,0,0.7534016802337044,,,
2025-08-22,4.5,매수,2.0,2.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.8334541684573636,1.4401642877230527,1.0,0.6067101192656891
2025-08-25,1.5,관망,1.0,-0.5,1.0,🟡 관망 — 진입 없음,,0,-0.3096765969299157,,,
2025-08-26,1.5,관망,3.5,-2.5,0.5,🟡 관망 — 진입 없음,,0,0.2047584905663275,,,
2025-08-27,-1.0,관망,0.0,-1.5,0.5,🟡 관망 — 진입 없음,,0,-0.37117164844564066,,,
2025-08-28,1.5,관망,1.0,0.0,0.5,🟡 관망 — 진입 없음,,0,0.3904483969640686,,,
2025-08-29,-2.0,관망,0.0,-3.0,1.0,🟡 관망 — 진입 없음,,0,-0.6726259985040495,,,
2025-09-01,7.0,강매수,3.5,3.0,0.5,🟢🟢 기본,"semiconductor,power_infra",5,0.40726484861351364,0.7355063353869682,1.0,0.32824148677345455
2025-09-02,-1.5,관망,1.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.17021773062624704,,,
2025-09-03,3.0,매수,2.0,0.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.13880600310471577,2.036914277824459,1.0,1.898108274719743
2025-09-04,5.5,강매수,0.0,3.0,2.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.24993516696413587,1.4736322466659542,1.0,1.2236970797018183
2025-09-05,-2.5,금지,0.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.14632654112088112,,0.0,
2025-09-08,7.0,강매수,2.0,4.0,1.0,🟢🟢 기본,"semiconductor,power_infra",5,0.36402058594992004,0.5041106069357042,1.0,0.14009002098578416
2025-09-09,0.0,관망,0.0,-0.5,0.5,🟡 관망 — 진입 없음,,0,0.372690669215875,,,
2025-09-10,-3.0,금지,-1.0,-2.5,0.5,🟡 관망 — 진입 없음,,0,0.6658581507574036,,0.0,
2025-09-11,4.0,매수,2.0,1.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.9105302199769701,2.355077226876669,1.0,1.444547006899699
2025-09-12,2.5,매수,2.0,0.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.36047256382093584,0.6973310142469142,1.0,0.3368584504259784
2025-09-15,2.0,매수,0.0,1.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.405593385430079,0.46007315069605215,1.0,0.054479765265973146
2025-09-16,0.0,관망,1.0,-2.0,1.0,🟡 관망 — 진입 없음,,0,-0.45773269305298847,,,
2025-09-17,0.0,관망,-2.0,1.0,1.0,🟡 관망 — 진입 없음,,0,0.5674728347592632,,,
2025-09-18,1.5,관망,-1.0,2.0,0.5,🟡 관망 — 진입 없음,,0,-0.0020243364743464725,,,
2025-09-19,0.5,관망,1.0,0.0,-0.5,🟡 관망 — 진입 없음,,0,0.5398781422766621,,,
2025-09-22,-5.0,금지,-2.0,-2.5,-0.5,🟡 관망 — 진입 없음,,0,0.5999469297748597,,0.0,
2025-09-23,3.5,매수,0.0,2.5,1.0,🟢 기본,"semiconductor,power_infra",5,0.16752064542614223,0.5637131326945202,1.0,0.39619248726837797
2025-09-24,1.0,관망,-1.0,1.5,0.5,🟡 관망 — 진입 없음,,0,-0.37901445553806684,,,
2025-09-25,-4.0,금지,0.5,-4.0,-0.5,🟡 관망 — 진입 없음,,0,-0.8850256515362189,,1.0,
2025-09-26,2.5,매수,0.0,2.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.83814126794499,0.9624903619941982,1.0,0.12434909404920824
2025-09-29,1.5,관망,0.0,1.0,0.5,🟡 관망 — 진입 없음,,0,0.13960203884437405,,,
2025-09-30,3.0,매수,-1.0,3.0,1.0,🟢 + CNH강세,"semiconductor,entertainment",5,0.5682403896098156,1.1089690404816455,1.0,0.5407286508718299
2025-10-01,3.5,매수,0.0,3.0,0.5,🟢 + 금리↓,"reits,securities",5,2.0154319156090956,0.7011588950790373,1.0,-1.3142730205300583
2025-10-02,1.5,관망,-2.0,3.0,0.5,🟡 관망 — 진입 없음,,0,1.3777755337826887,,,
2025-10-10,-5.5,패닉,2.0,-6.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,-1.6761762004752445,1.6761762004752445,1.0,3.352352400950489
2025-10-13,4.5,매수,-0.5,5.5,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.545956064019051,1.3265266961673898,1.0,0.7805706321483389
2025-10-14,-2.5,금지,2.0,-4.0,-0.5,🟡 관망 — 진입 없음,,0,0.5286591276517779,,0.0,
2025-10-15,-3.0,금지,-3.5,1.0,-0.5,🟡 관망 — 진입 없음,,0,0.5069351789850335,,0.0,
2025-10-16,-2.0,관망,-1.0,0.5,-1.5,🟡 관망 — 진입 없음,,0,-0.4164505354019755,,,
2025-10-17,-4.0,금지,-2.0,-2.0,0.0,🟡 관망 — 진입 없음,,0,0.7071429283134792,,0.0,
